hit_rate,miss_rate,outage_probability,noma_success_rate,sic_success_rate,cic_benefit_rate,avg_throughput,spectral_efficiency,energy_per_bit,total_requests,cache_hits,noma_transmissions,outages,cic_events,phase,capacity,current_size,utilization,total_hits,total_misses,evictions,cic_opportunities,cic_rate,noma_paired_hits,noma_awareness_enabled,training_step,epsilon,eval_mode,avg_episode_reward,avg_loss,replay_buffer_size,use_neural_network,cic_count,sic_count,warm_up_steps,beta,action_dim,state_dim,episode
0.6721,0.32789999999999997,0.031412015858493444,0.9685879841415066,0.0,3.5751753583409576,7.487049672001358,22.833332333032505,0.08759124471317932,10000,6721,3279,103,3279,train,200,200,1.0,6721,3279,1411,6825,0.6825,6721,True,10000,0.9950500000001075,False,17248.199999999943,0.006513012687209993,10000,True,8960,6721,2000,0.40024012000000003,2,14,0
0.6825,0.3175,0.04976377952755905,0.9502362204724409,0.0,3.6245669291338585,7.540693942124501,23.750217140549612,0.08420975640619838,10000,6825,3175,158,3175,train,200,200,1.0,6825,3175,1414,6580,0.658,6825,True,20000,0.9901000000002149,False,17156.50000000002,0.02067605189513415,20000,True,17845,13546,2000,0.40054012,2,14,1
0.6894,0.3106,0.05215711526078558,0.9478428847392144,0.0,3.8071474565357373,7.622785690072841,24.542130360826917,0.08149251799233831,10000,6894,3106,162,3106,train,200,200,1.0,6894,3106,1410,7418,0.7418,6894,True,30000,0.9851500000003224,False,17101.66666666672,0.09230239542201162,30000,True,26974,20440,2000,0.40084012,2,14,2
0.6958,0.3042,0.07001972386587771,0.9299802761341223,0.0,3.8941485864562786,7.599595751526962,24.982234554657996,0.0800568898520367,10000,6958,3042,213,3042,train,200,200,1.0,6958,3042,1355,7409,0.7409,6958,True,40000,0.9802000000004298,False,17082.225000000064,0.21507073741406202,40000,True,36163,27398,2000,0.40114012000000004,2,14,3
0.6832,0.31679999999999997,0.06502525252525253,0.9349747474747475,0.0,3.606691919191919,7.567901286638867,23.888577293683294,0.08372202226244957,10000,6832,3168,206,3168,train,200,200,1.0,6832,3168,1417,6632,0.6632,6832,True,50000,0.9752500000005373,False,17034.00000000008,0.21889385810121895,50000,True,45000,34230,2000,0.40144012,2,14,4
0.692,0.30800000000000005,0.11168831168831168,0.8883116883116883,0.0,3.713961038961039,7.559892412292793,24.54510523471686,0.081482641075467,10000,6920,3080,344,3080,train,200,200,1.0,6920,3080,1382,6552,0.6552,6920,True,60000,0.9703000000006448,False,17017.800000000087,0.3802896873652935,50000,True,53909,41150,2000,0.40174012000000003,2,14,5
0.6911,0.30889999999999995,0.06474587245063128,0.9352541275493688,0.0,3.727419876982842,7.619560049129912,24.66675315354455,0.08108079679358225,10000,6911,3089,200,3089,train,200,200,1.0,6911,3089,1367,6920,0.692,6911,True,70000,0.9653500000007522,False,17000.442857142945,0.6163937250524759,50000,True,62866,48061,2000,0.40204012,2,14,6
0.6965,0.3035,0.05041186161449753,0.9495881383855025,0.0,3.8392092257001647,7.62345059334611,25.118453355341384,0.07962273678664632,10000,6965,3035,153,3035,train,200,200,1.0,6965,3035,1407,6926,0.6926,6965,True,80000,0.9604000000008597,False,17008.487500000094,0.6107700845599174,50000,True,71915,55026,2000,0.40234012,2,14,7
0.6874,0.3126,0.08765195137555983,0.9123480486244402,0.0,3.7328854766474726,7.572593942021679,24.224548758866536,0.08256087739376243,10000,6874,3126,274,3126,train,200,200,1.0,6874,3126,1458,7097,0.7097,6874,True,90000,0.9554500000009671,False,17008.31111111121,1.090136161148548,50000,True,80938,61900,2000,0.40264012000000005,2,14,8
0.6898,0.31020000000000003,0.0548033526756931,0.9451966473243069,0.0,3.734042553191489,7.570102795399761,24.40394195809078,0.08195397298660302,10000,6898,3102,170,3102,train,200,200,1.0,6898,3102,1438,6761,0.6761,6898,True,100000,0.9505000000010746,False,17005.96000000009,1.9239808857440948,50000,True,89905,68798,2000,0.40294012,2,14,9
0.6878,0.31220000000000003,0.07174887892376682,0.9282511210762332,0.0,3.722293401665599,7.630214892562112,24.440150200391134,0.08183255763984595,10000,6878,3122,224,3122,train,200,200,1.0,6878,3122,1412,6743,0.6743,6878,True,110000,0.9455500000011821,False,16991.53636363646,3.711227685213089,50000,True,98881,75676,2000,0.40324012000000004,2,14,10
0.6779,0.32210000000000005,0.05122632722756908,0.948773672772431,0.0,3.6758770568146537,7.559598711072993,23.469725895911186,0.08521616353212004,10000,6779,3221,165,3221,train,200,200,1.0,6779,3221,1457,7260,0.726,6779,True,120000,0.9406000000012895,False,16971.650000000092,4.410224707126617,50000,True,107949,82455,2000,0.40354012,2,14,11
0.6881,0.31189999999999996,0.08496312920807951,0.9150368707919205,0.0,3.7653093940365503,7.587789794591062,24.32763640458821,0.08221102809736168,10000,6881,3119,265,3119,train,200,200,1.0,6881,3119,1469,7185,0.7185,6881,True,130000,0.935650000001397,False,16973.14615384625,3.850484187602997,50000,True,117008,89336,2000,0.40384012,2,14,12
0.6938,0.3062,0.08589157413455258,0.9141084258654474,0.0,3.766165904637492,7.599201792659634,24.81777202044296,0.0805874112451575,10000,6938,3062,263,3062,train,200,200,1.0,6938,3062,1391,6969,0.6969,6938,True,140000,0.9307000000015044,False,16971.471428571527,3.8681964087486267,50000,True,125987,96274,2000,0.40414012000000005,2,14,13
0.6873,0.3127,0.08058842340901823,0.9194115765909817,0.0,3.696514230892229,7.55541010141761,24.161848741341892,0.08277512293907874,10000,6873,3127,252,3127,train,200,200,1.0,6873,3127,1460,6583,0.6583,6873,True,150000,0.9257500000016119,False,16969.786666666765,4.291373400688172,50000,True,134917,103147,2000,0.40444012,2,14,14
0.6957,0.3043,0.060795267827801515,0.9392047321721985,0.0,3.8051265198816955,7.636036450086259,25.09377735815399,0.0797010339039339,10000,6957,3043,185,3043,train,200,200,1.0,6957,3043,1474,6860,0.686,6957,True,160000,0.9208000000017194,False,16980.868750000092,4.535554227828979,50000,True,143908,110104,2000,0.40474012000000004,2,14,15
0.6911,0.30889999999999995,0.05179669796050502,0.948203302039495,0.0,3.7507283910650697,7.605295326344449,24.620574057443992,0.08123287439739055,10000,6911,3089,160,3089,train,200,200,1.0,6911,3089,1397,6934,0.6934,6911,True,170000,0.9158500000018268,False,16980.805882353034,4.562896058559418,50000,True,152895,117015,2000,0.40504012,2,14,16
0.6854,0.3146,0.06007628734901462,0.9399237126509854,0.0,3.7625556261919897,7.538477846216494,23.962103770554652,0.08346512556454495,10000,6854,3146,189,3146,train,200,200,1.0,6854,3146,1464,7274,0.7274,6854,True,180000,0.9109000000019343,False,16978.32777777787,4.726498603820801,50000,True,162003,123869,2000,0.40534012,2,14,17
0.6836,0.3164,0.036346396965865994,0.963653603034134,0.0,3.687104930467762,7.643583367306436,24.157975244331343,0.0827883951271661,10000,6836,3164,115,3164,train,200,200,1.0,6836,3164,1477,6911,0.6911,6836,True,190000,0.9059500000020417,False,16977.831578947462,5.271559321880341,50000,True,170985,130705,2000,0.40564012000000005,2,14,18
0.6944,0.3056,0.07166230366492146,0.9283376963350786,0.0,3.87598167539267,7.641026722107209,25.003359692759194,0.07998925042778099,10000,6944,3056,219,3056,train,200,200,1.0,6944,3056,1417,7502,0.7502,6944,True,200000,0.9010000000021492,False,16980.355000000094,5.623848214149475,50000,True,180168,137649,2000,0.40594012,2,14,19
0.6847,0.3153,0.06374881065651761,0.9362511893434824,0.0,3.628290516967967,7.569963327978914,24.008764122990527,0.08330291345920726,10000,6847,3153,201,3153,train,200,200,1.0,6847,3153,1487,6516,0.6516,6847,True,210000,0.8960500000022567,False,16979.60952380962,6.100608718395233,50000,True,188997,144496,2000,0.40624012000000004,2,14,20
0.6917,0.3083,0.04735647096983458,0.9526435290301655,0.0,3.684398313331171,7.691578163207424,24.94835602727027,0.08016560280821158,10000,6917,3083,146,3083,train,200,200,1.0,6917,3083,1447,6405,0.6405,6917,True,220000,0.8911000000023641,False,16979.26818181828,6.292155961990357,50000,True,197819,151413,2000,0.40654012,2,14,21
0.6927,0.3073,0.11194272697689554,0.8880572730231044,0.0,3.8620240807028963,7.602576212653014,24.73991608412956,0.0808410179403552,10000,6927,3073,344,3073,train,200,200,1.0,6927,3073,1497,7482,0.7482,6927,True,230000,0.8861500000024716,False,16986.773913043573,7.5973128938674925,50000,True,206988,158340,2000,0.40684012,2,14,22
0.6851,0.31489999999999996,0.05462051444903144,0.9453794855509685,0.0,3.7500793902826293,7.554685044123644,23.990743233164956,0.08336548728657925,10000,6851,3149,172,3149,train,200,200,1.0,6851,3149,1524,7163,0.7163,6851,True,240000,0.881200000002579,False,16987.570833333433,9.722980017662048,50000,True,216086,165191,2000,0.40714012,2,14,23
0.6966,0.3034,0.05471324983520105,0.9452867501647989,0.0,3.8790375741595255,7.620019284663559,25.11542282354502,0.07963234439856035,10000,6966,3034,166,3034,train,200,200,1.0,6966,3034,1468,7229,0.7229,6966,True,250000,0.8762500000026865,False,16994.7880000001,10.841161651611328,50000,True,225202,172157,2000,0.40744012,2,14,24
0.6909,0.30910000000000004,0.06567453898414753,0.9343254610158525,0.0,3.720478809446781,7.588164624792427,24.54922233837731,0.08146897577580044,10000,6909,3091,203,3091,train,200,200,1.0,6909,3091,1491,6621,0.6621,6909,True,260000,0.871300000002794,False,16997.853846153943,11.897008662223817,50000,True,234110,179066,2000,0.40774012000000004,2,14,25
0.6915,0.3085,0.06515397082658023,0.9348460291734197,0.0,3.699837925445705,7.622821124491695,24.70930672444634,0.08094116206106605,10000,6915,3085,201,3085,train,200,200,1.0,6915,3085,1534,6469,0.6469,6915,True,270000,0.8663500000029014,False,17002.933333333433,12.728106026649476,50000,True,242972,185981,2000,0.40804012,2,14,26
0.6886,0.3114,0.03018625561978163,0.9698137443802184,0.0,3.7106615285806037,7.617581111846418,24.462367090065566,0.08175823674938726,10000,6886,3114,94,3114,train,200,200,1.0,6886,3114,1559,6551,0.6551,6886,True,280000,0.8614000000030089,False,17009.035714285812,16.135016126632692,50000,True,251872,192867,2000,0.40834012000000003,2,14,27
0.6926,0.3074,0.08620689655172414,0.9137931034482759,0.0,3.797007156798959,7.526190359284255,24.483377876656654,0.08168807466337694,10000,6926,3074,265,3074,train,200,200,1.0,6926,3074,1521,7104,0.7104,6926,True,290000,0.8564500000031163,False,17014.382758620784,19.17388509750366,50000,True,260903,199793,2000,0.40864012,2,14,28
0.6884,0.3116,0.08055198973042361,0.9194480102695763,0.0,3.743260590500642,7.6983401718748095,24.705841373154072,0.08095251522877683,10000,6884,3116,251,3116,train,200,200,1.0,6884,3116,1552,6955,0.6955,6884,True,300000,0.8515000000032238,False,17017.29333333343,22.547154846191408,50000,True,269895,206677,2000,0.40894012,2,14,29
0.6915,0.3085,0.0820097244732577,0.9179902755267423,0.0,3.8116693679092384,7.6412665929289085,24.769097545960804,0.08074577591245943,10000,6915,3085,253,3085,train,200,200,1.0,6915,3085,1547,7263,0.7263,6915,True,310000,0.8465500000033312,False,17022.080645161383,25.053640184402465,50000,True,278960,213592,2000,0.40924012000000004,2,14,30
0.698,0.30200000000000005,0.09966887417218544,0.9003311258278146,0.0,3.8211920529801326,7.658352698763761,25.35878377074093,0.07886813571507353,10000,6980,3020,301,3020,train,200,200,1.0,6980,3020,1557,6615,0.6615,6980,True,320000,0.8416000000034387,False,17032.206250000094,29.14494517326355,50000,True,287922,220572,2000,0.40954012,2,14,31
0.6899,0.31010000000000004,0.04675910996452757,0.9532408900354724,0.0,3.763947113834247,7.615437225492671,24.55800459688059,0.0814398414215642,10000,6899,3101,145,3101,train,200,200,1.0,6899,3101,1572,6918,0.6918,6899,True,330000,0.8366500000035462,False,17036.930303030396,27.494477682113647,50000,True,296897,227471,2000,0.40984012000000003,2,14,32
0.6931,0.30689999999999995,0.05213424568263278,0.9478657543173672,0.0,3.739980449657869,7.648122721033905,24.92056930933172,0.08025498836622014,10000,6931,3069,160,3069,train,200,200,1.0,6931,3069,1559,6637,0.6637,6931,True,340000,0.8317000000036536,False,17043.34411764715,27.904746189117432,50000,True,305787,234402,2000,0.41014012,2,14,33
0.6842,0.31579999999999997,0.056048131728942366,0.9439518682710576,0.0,3.683027232425586,7.692666921592579,24.35929994171178,0.08210416575130262,10000,6842,3158,177,3158,train,200,200,1.0,6842,3158,1637,6762,0.6762,6842,True,350000,0.8267500000037611,False,17046.974285714376,29.527127408981322,50000,True,314716,241244,2000,0.41044012,2,14,34
0.6991,0.30089999999999995,0.06746427384513128,0.9325357261548687,0.0,3.8700564971751414,7.696735897895799,25.57904917878298,0.0781889892005422,10000,6991,3009,203,3009,train,200,200,1.0,6991,3009,1475,7003,0.7003,6991,True,360000,0.8218000000038685,False,17051.244444444532,32.74844104766846,50000,True,323786,248235,2000,0.41074012000000004,2,14,35
