hit_rate,miss_rate,outage_probability,noma_success_rate,sic_success_rate,cic_benefit_rate,avg_throughput,spectral_efficiency,energy_per_bit,total_requests,cache_hits,noma_transmissions,outages,cic_events,phase,capacity,current_size,utilization,total_hits,total_misses,evictions,cic_opportunities,cic_rate,noma_paired_hits,noma_awareness_enabled,training_step,epsilon,eval_mode,avg_episode_reward,avg_loss,replay_buffer_size,use_neural_network,cic_count,sic_count,warm_up_steps,beta,action_dim,state_dim,episode
0.4825,0.5175000000000001,0.0966183574879227,0.9033816425120773,0.0,1.9396135265700483,6.2155150120088125,12.010657028036352,0.16651878372110873,800,386,414,40,414,train,200,196,0.98,386,414,0,288,0.36,386,True,800,0.9975250000000315,False,1251.0,2.088587522506714,800,True,525,386,800,0.4000015,2,14,0
0.47875,0.52125,0.13189448441247004,0.86810551558753,0.0,2.175059952038369,5.837185915560236,11.198438207309806,0.17859633307566902,800,383,417,55,417,train,200,200,1.0,383,417,17,400,0.5,383,True,1600,0.995050000000063,False,1288.25,0.025560376662760974,1600,True,1115,769,800,0.40030150000000003,2,14,1
0.46625,0.53375,0.21779859484777517,0.7822014051522248,0.0,2.1451990632318503,5.456557071144824,10.223057744533628,0.19563618341776656,800,373,427,93,427,train,200,200,1.0,373,427,3,415,0.51875,373,True,2400,0.9925750000000946,False,1254.966666666666,0.009663271461613476,2400,True,1714,1142,800,0.4006015,2,14,2
0.47625,0.5237499999999999,0.0,1.0,0.0,2.288782816229117,5.960323304045278,11.380092227294087,0.17574550012900486,800,381,419,0,419,train,200,200,1.0,381,419,6,476,0.595,381,True,3200,0.9901000000001261,False,1246.024999999999,0.01290640416322276,3200,True,2342,1523,800,0.4009015,2,14,3
0.50625,0.49375,0.12658227848101267,0.8734177215189873,0.0,2.311392405063291,6.015328935370417,12.182944679231223,0.16416392363740137,800,405,395,50,395,train,200,200,1.0,405,395,4,439,0.54875,405,True,4000,0.9876250000001576,False,1252.7999999999988,0.01887814697576687,4000,True,2958,1928,800,0.40120150000000004,2,14,4
0.47875,0.52125,0.34772182254196643,0.6522781774580336,0.0,2.211031175059952,5.16128492031841,9.901745650490955,0.20198458641490502,800,383,417,145,417,train,200,200,1.0,383,417,8,461,0.57625,383,True,4800,0.9851500000001892,False,1254.8666666666657,0.024506358643993736,4800,True,3559,2311,800,0.4015015,2,14,5
0.51625,0.48375,0.09560723514211886,0.9043927648578811,0.0,2.2713178294573644,6.015954394417255,12.436081435487866,0.16082236276555392,800,413,387,37,387,train,200,194,0.97,413,387,0,421,0.52625,413,True,5600,0.9826750000002207,False,1257.3285714285703,0.02788852567784488,5600,True,4156,2724,800,0.40180150000000003,2,14,6
0.49,0.51,0.13480392156862744,0.8651960784313726,0.0,2.357843137254902,5.659075895384299,11.096227245851566,0.18024144204037634,800,392,408,55,408,train,200,198,0.99,392,408,0,497,0.62125,392,True,6400,0.9802000000002522,False,1253.0499999999988,0.02533518646261655,6400,True,4795,3116,800,0.4021015,2,14,7
0.51125,0.48875,0.09718670076726342,0.9028132992327366,0.0,2.2429667519181584,5.949555868569831,12.17300433466973,0.1642979781337819,800,409,391,38,391,train,200,186,0.93,409,391,0,426,0.5325,409,True,7200,0.9777250000002837,False,1249.1999999999987,0.03059029291383922,7200,True,5391,3525,800,0.4024015,2,14,8
0.48375,0.51625,0.1089588377723971,0.8910411622276029,0.0,2.331719128329298,5.950060750671558,11.525541405659194,0.17352764001333365,800,387,413,45,413,train,200,200,1.0,387,413,14,486,0.6075,387,True,8000,0.9752500000003153,False,1250.5899999999988,0.029426031352486462,8000,True,6018,3912,800,0.40270150000000005,2,14,9
0.5325,0.4675,0.20053475935828877,0.7994652406417112,0.0,2.5106951871657754,6.21858174580737,13.301779135416835,0.1503558268137886,800,426,374,75,374,train,200,192,0.96,426,374,0,522,0.6525,426,True,8800,0.9727750000003468,False,1254.5181818181807,0.028851434250827878,8800,True,6659,4338,800,0.4030015,2,14,10
0.495,0.505,0.19306930693069307,0.806930693069307,0.0,2.014851485148515,5.979608285343622,11.840808485828955,0.16890738520039356,800,396,404,78,404,train,200,200,1.0,396,404,16,293,0.36625,396,True,9600,0.9703000000003783,False,1257.5999999999988,0.02946196764416527,9600,True,7194,4734,800,0.40330150000000003,2,14,11
0.5025,0.49750000000000005,0.0,1.0,0.0,2.3316582914572863,6.0404502850896735,12.141608613245575,0.16472281916731787,800,402,398,0,398,train,200,200,1.0,402,398,8,492,0.615,402,True,10400,0.9678250000004098,False,1258.8307692307683,0.03211494037997909,10400,True,7811,5136,800,0.4036015,2,14,12
0.51125,0.48875,0.21994884910485935,0.7800511508951407,0.0,2.7468030690537084,5.906345626226603,12.084594631665682,0.1654999659450165,800,409,391,86,391,train,200,200,1.0,409,391,8,653,0.81625,409,True,11200,0.9653500000004414,False,1261.3142857142848,0.03398972451337613,11200,True,8532,5545,800,0.4039015,2,14,13
0.535,0.46499999999999997,0.10215053763440861,0.8978494623655914,0.0,2.736559139784946,6.155784007017799,13.238245176382366,0.15107742554640788,800,428,372,38,372,train,200,190,0.95,428,372,0,643,0.80375,428,True,12000,0.9628750000004729,False,1262.759999999999,0.03207614463171922,12000,True,9226,5973,800,0.40420150000000005,2,14,14
0.49875,0.50125,0.06234413965087282,0.9376558603491272,0.0,2.3591022443890273,6.105800521396629,12.181148172362352,0.16418813495248122,800,399,401,25,401,train,200,200,1.0,399,401,14,504,0.63,399,True,12800,0.9604000000005044,False,1263.849999999999,0.029134338268777357,12800,True,9858,6372,800,0.4045015,2,14,15
0.52125,0.47875,0.1174934725848564,0.8825065274151436,0.0,2.4699738903394257,5.891376368875903,12.305746984597187,0.16252568840423526,800,417,383,45,383,train,200,200,1.0,417,383,1,523,0.65375,417,True,13600,0.9579250000005359,False,1264.6411764705872,0.03338853382214438,13600,True,10499,6789,800,0.40480150000000004,2,14,16
0.47625,0.5237499999999999,0.0405727923627685,0.9594272076372315,0.0,2.124105011933174,5.4957685014613356,10.493114083935724,0.19060118702624895,800,381,419,17,419,train,200,200,1.0,381,419,26,423,0.52875,381,True,14400,0.9554500000005675,False,1265.2722222222212,0.03606831318349577,14400,True,11073,7170,800,0.4051015,2,14,17
0.5,0.5,0.0725,0.9275,0.0,2.49,6.710137225063097,13.420274450126193,0.1490282488210361,800,400,400,29,400,train,200,200,1.0,400,400,4,590,0.7375,400,True,15200,0.952975000000599,False,1264.8947368421043,0.031734040598385034,15200,True,11737,7570,800,0.4054015,2,14,18
0.50375,0.49624999999999997,0.0,1.0,0.0,2.2544080604534007,6.028708952332332,12.148531893868679,0.16462894590657434,800,403,397,0,397,train,200,200,1.0,403,397,11,447,0.55875,403,True,16000,0.9505000000006305,False,1266.169999999999,0.03023706456646323,16000,True,12332,7973,800,0.40570150000000005,2,14,19
0.53,0.47,0.03723404255319149,0.9627659574468085,0.0,2.5664893617021276,6.787006905024116,14.440440223455566,0.1384999327618424,800,424,376,14,376,train,200,200,1.0,424,376,4,499,0.62375,424,True,16800,0.948025000000662,False,1268.3047619047609,0.028948184532346204,16800,True,12989,8397,800,0.4060015,2,14,20
0.51375,0.48624999999999996,0.16709511568123395,0.8329048843187661,0.0,2.570694087403599,5.959984540337441,12.257037615089853,0.16317156419082576,800,411,389,65,389,train,200,200,1.0,411,389,13,594,0.7425,411,True,17600,0.9455500000006936,False,1269.9772727272718,0.03230349143093918,17600,True,13656,8808,800,0.40630150000000004,2,14,21
0.4775,0.5225,0.18899521531100477,0.8110047846889952,0.0,2.172248803827751,5.641872831980113,10.797842740631795,0.1852221826193199,800,382,418,79,418,train,200,200,1.0,382,418,1,465,0.58125,382,True,18400,0.9430750000007251,False,1266.7565217391293,0.036626326984842306,18400,True,14254,9190,800,0.4066015,2,14,22
0.54625,0.45375,0.10192837465564739,0.8980716253443526,0.0,2.3608815426997247,6.191535898477127,13.645258178461988,0.1465710632838629,800,437,363,37,363,train,200,200,1.0,437,363,5,356,0.445,437,True,19200,0.9406000000007566,False,1270.5583333333323,0.03462472300045192,19200,True,14833,9627,800,0.4069015,2,14,23
