hit_rate,miss_rate,outage_probability,noma_success_rate,sic_success_rate,cic_benefit_rate,avg_throughput,spectral_efficiency,energy_per_bit,total_requests,cache_hits,noma_transmissions,outages,cic_events,phase,capacity,current_size,utilization,total_hits,total_misses,evictions,cic_opportunities,cic_rate,noma_paired_hits,noma_awareness_enabled,training_step,epsilon,eval_mode,avg_episode_reward,avg_loss,replay_buffer_size,use_neural_network,cic_count,sic_count,warm_up_steps,beta,action_dim,state_dim,episode
0.4825,0.5175000000000001,0.0966183574879227,0.9033816425120773,0.0,1.9396135265700483,6.2155150120088125,12.010657028036352,0.16651878372110873,800,386,414,40,414,train,200,196,0.98,386,414,0,288,0.36,386,True,800,0.9975250000000315,False,1251.0,1.3884551525115967,800,True,525,386,800,0.0,2,14,0
0.455,0.5449999999999999,0.13990825688073394,0.8600917431192661,0.0,2.353211009174312,5.6645417410042365,10.393654570649975,0.19242509806393618,800,364,436,61,436,train,200,200,1.0,364,436,14,568,0.71,364,True,1600,0.995050000000063,False,1257.25,0.009987540098372848,1600,True,1187,750,800,0.0,2,14,1
0.47375,0.52625,0.2209026128266033,0.7790973871733967,0.0,2.2684085510688834,5.4920646854992246,10.436227430877386,0.19164013176664335,800,379,421,93,421,train,200,200,1.0,379,421,14,449,0.56125,379,True,2400,0.9925750000000946,False,1252.766666666666,0.02417818601243198,2400,True,1810,1129,800,0.0,2,14,2
0.485,0.515,0.0,1.0,0.0,2.4781553398058254,6.052389399143931,11.752212425522195,0.17018072236820825,800,388,412,0,412,train,200,200,1.0,388,412,12,564,0.705,388,True,3200,0.9901000000001261,False,1254.474999999999,0.019846469950862228,3200,True,2482,1517,800,0.0,2,14,3
0.51,0.49,0.13520408163265307,0.8647959183673469,0.0,2.1301020408163267,6.047412336483437,12.341657829558034,0.16205278315284663,800,408,392,53,392,train,200,200,1.0,408,392,2,358,0.4475,408,True,4000,0.9876250000001576,False,1258.5199999999988,0.006885210031177849,4000,True,3043,1925,800,0.0,2,14,4
0.48125,0.51875,0.3566265060240964,0.6433734939759036,0.0,2.1783132530120484,5.181031426758556,9.987530461221315,0.20024970214262877,800,385,415,148,415,train,200,200,1.0,385,415,14,473,0.59125,385,True,4800,0.9851500000001892,False,1263.5166666666653,0.005635172767797485,4800,True,3637,2310,800,0.0,2,14,5
0.52125,0.47875,0.08877284595300261,0.9112271540469974,0.0,2.608355091383812,6.061520114298788,12.66113861994525,0.15796367609855996,800,417,383,34,383,train,200,187,0.935,417,383,0,598,0.7475,417,True,5600,0.9826750000002207,False,1262.7857142857126,0.009854275069665163,5600,True,4316,2727,800,0.0,2,14,6
0.48625,0.5137499999999999,0.13381995133819952,0.8661800486618005,0.0,2.3090024330900243,5.648584574907262,10.994811824637006,0.1819039772484719,800,389,411,55,411,train,200,200,1.0,389,411,11,501,0.62625,389,True,6400,0.9802000000002522,False,1262.4749999999988,0.011775881202192978,6400,True,4942,3116,800,0.0,2,14,7
0.5425,0.4575,0.10655737704918032,0.8934426229508197,0.0,2.557377049180328,6.19286865516889,13.536324929330906,0.14775059038855823,800,434,366,39,366,train,200,190,0.95,434,366,0,522,0.6525,434,True,7200,0.9777250000002837,False,1266.7111111111099,0.022728696514386682,7200,True,5587,3550,800,0.0,2,14,8
0.47875,0.52125,0.11270983213429256,0.8872901678657075,0.0,2.304556354916067,5.906635606350152,11.331675024172954,0.1764964134369862,800,383,417,47,417,train,200,200,1.0,383,417,19,496,0.62,383,True,8000,0.9752500000003153,False,1267.7399999999989,0.007262984331464395,8000,True,6215,3933,800,0.0,2,14,9
0.49125,0.50875,0.1941031941031941,0.8058968058968059,0.0,2.3415233415233416,5.908940135957971,11.614624345863334,0.1721967013691941,800,393,407,79,407,train,200,179,0.895,393,407,0,547,0.68375,393,True,8800,0.9727750000003468,False,1259.881818181817,0.012768589200568385,8800,True,6856,4326,800,0.0,2,14,10
0.49375,0.50625,0.19753086419753085,0.8024691358024691,0.0,2.1555555555555554,5.968195485444169,11.789028119395889,0.1696492687730129,800,395,405,80,405,train,200,200,1.0,395,405,19,398,0.4975,395,True,9600,0.9703000000003783,False,1263.2749999999987,0.021307730531552806,9600,True,7430,4721,800,0.0,2,14,11
