hit_rate,miss_rate,outage_probability,noma_success_rate,sic_success_rate,cic_benefit_rate,avg_throughput,spectral_efficiency,energy_per_bit,total_requests,cache_hits,noma_transmissions,outages,cic_events,phase,policy,run,capacity,current_size,utilization,total_hits,total_misses,evictions,cic_opportunities,cic_rate,noma_paired_hits,noma_awareness_enabled,training_step,epsilon,eval_mode,avg_episode_reward,avg_loss,replay_buffer_size,use_neural_network,cic_count,sic_count,warm_up_steps,beta
0.69,0.31,0.1774193548387097,0.8709677419354839,1.0,0.0,7.2428597287828085,46.728127282469735,0.042800773673425364,200,138,31,11,0,eval,topk,0,,,,,,,,,,,,,,,,,,,,,
0.705,0.295,0.4,0.7333333333333333,1.0,0.0,7.34641106554049,48.976073770269934,0.040836266487618386,200,141,30,24,0,eval,topk,1,,,,,,,,,,,,,,,,,,,,,
0.715,0.285,0.2413793103448276,0.8275862068965517,1.0,0.0,7.392122704831254,50.98015658504313,0.039230950510394706,200,143,29,14,0,eval,topk,2,,,,,,,,,,,,,,,,,,,,,
0.69,0.31,0.1935483870967742,0.8387096774193549,1.0,0.0,7.178792622882391,46.31479111537026,0.04318274900599239,200,138,31,12,0,eval,topk,3,,,,,,,,,,,,,,,,,,,,,
0.685,0.315,0.234375,0.84375,1.0,0.0,7.1467561952640715,44.667226220400444,0.04477555848512838,200,137,32,15,0,eval,topk,4,,,,,,,,,,,,,,,,,,,,,
0.685,0.315,0.203125,0.84375,1.0,0.0,7.125023611224976,44.5313975701561,0.044912131869410565,200,137,32,13,0,eval,topk,5,,,,,,,,,,,,,,,,,,,,,
0.68,0.32,0.265625,0.84375,1.0,0.0,7.129532220439894,44.55957637774934,0.04488373011101364,200,136,32,17,0,eval,topk,6,,,,,,,,,,,,,,,,,,,,,
0.68,0.32,0.28125,0.84375,1.0,0.0,7.038251121814875,43.98906951134297,0.04546584008748542,200,136,32,18,0,eval,topk,7,,,,,,,,,,,,,,,,,,,,,
0.71,0.29,0.08620689655172414,0.9655172413793104,1.0,0.0,7.44783818595178,51.364401282426066,0.03893747323176304,200,142,29,5,0,eval,topk,8,,,,,,,,,,,,,,,,,,,,,
0.73,0.27,0.3333333333333333,0.8518518518518519,1.0,0.0,7.588438841257898,56.21065808339184,0.03558044093760442,200,146,27,18,0,eval,topk,9,,,,,,,,,,,,,,,,,,,,,
0.7,0.3,0.13333333333333333,0.9333333333333333,1.0,0.0,7.393284891419773,49.28856594279849,0.04057736235055178,200,140,30,8,0,eval,topk,10,,,,,,,,,,,,,,,,,,,,,
0.68,0.32,0.140625,0.9375,1.0,0.0,7.169593959826338,44.809962248914616,0.04463293204511557,200,136,32,9,0,eval,topk,11,,,,,,,,,,,,,,,,,,,,,
0.73,0.27,0.2962962962962963,0.9259259259259259,1.0,0.0,7.544460773371464,55.884894617566395,0.035787845958849436,200,146,27,16,0,eval,topk,12,,,,,,,,,,,,,,,,,,,,,
0.745,0.255,0.2692307692307692,0.8461538461538461,1.0,0.0,7.694684744797392,59.189882652287636,0.03378955845797241,200,149,26,14,0,eval,topk,13,,,,,,,,,,,,,,,,,,,,,
0.675,0.325,0.19696969696969696,0.9090909090909091,1.0,0.0,7.055254232841304,42.75911656267457,0.046773651112938255,200,135,33,13,0,eval,topk,14,,,,,,,,,,,,,,,,,,,,,
0.695,0.305,0.1935483870967742,0.8709677419354839,1.0,0.0,7.283976678379658,46.99339792503005,0.042559169762328285,200,139,31,12,0,eval,topk,15,,,,,,,,,,,,,,,,,,,,,
0.78,0.22,0.3409090909090909,0.7272727272727273,1.0,0.0,7.944622709778863,72.22384281617148,0.02769168631874825,200,156,22,15,0,eval,topk,16,,,,,,,,,,,,,,,,,,,,,
0.7,0.3,0.2833333333333333,0.8,1.0,0.0,7.296692403219793,48.64461602146528,0.04111451921251604,200,140,30,17,0,eval,topk,17,,,,,,,,,,,,,,,,,,,,,
0.685,0.315,0.21875,0.84375,1.0,0.0,7.199676365838603,44.99797728649127,0.04444644227598237,200,137,32,14,0,eval,topk,18,,,,,,,,,,,,,,,,,,,,,
0.75,0.25,0.22,0.84,1.0,0.0,7.668922436726542,61.35137949381234,0.03259910398920553,200,150,25,11,0,eval,topk,19,,,,,,,,,,,,,,,,,,,,,
0.77,0.23,0.32608695652173914,0.7391304347826086,1.0,0.0,7.983059783537917,69.41791116119929,0.028811008089190213,200,154,23,15,0,eval,topk,20,,,,,,,,,,,,,,,,,,,,,
0.72,0.28,0.17857142857142858,0.9285714285714286,1.0,0.0,7.545717630961687,53.89798307829777,0.03710713992942173,200,144,28,10,0,eval,topk,21,,,,,,,,,,,,,,,,,,,,,
0.745,0.255,0.17307692307692307,0.8846153846153846,1.0,0.0,7.749952626581592,59.615020204473794,0.033548592169225004,200,149,26,9,0,eval,topk,22,,,,,,,,,,,,,,,,,,,,,
0.66,0.34,0.16176470588235295,0.9117647058823529,1.0,0.0,6.945297298379171,40.854689990465715,0.048953987913425395,200,132,34,11,0,eval,topk,23,,,,,,,,,,,,,,,,,,,,,
0.66,0.34,0.23529411764705882,0.8823529411764706,1.0,0.0,6.8924569990816575,40.54386470048034,0.049329288531695034,200,132,34,16,0,eval,topk,24,,,,,,,,,,,,,,,,,,,,,
0.74,0.26,0.25,0.8846153846153846,1.0,0.0,7.6895765247758865,59.15058865212221,0.03381200501253581,200,148,26,13,0,eval,topk,25,,,,,,,,,,,,,,,,,,,,,
0.69,0.31,0.11290322580645161,0.9354838709677419,1.0,0.0,7.2110658056432495,46.52300519769839,0.0429894842669997,200,138,31,7,0,eval,topk,26,,,,,,,,,,,,,,,,,,,,,
0.69,0.31,0.1935483870967742,0.9032258064516129,1.0,0.0,7.239999680053111,46.70967535518136,0.04281768145019116,200,138,31,12,0,eval,topk,27,,,,,,,,,,,,,,,,,,,,,
0.73,0.27,0.14814814814814814,0.8888888888888888,1.0,0.0,7.603471076010265,56.3220079704464,0.0355100975989608,200,146,27,8,0,eval,topk,28,,,,,,,,,,,,,,,,,,,,,
0.755,0.245,0.32,0.8,1.0,0.0,7.752570296785049,62.020562374280395,0.03224736963735417,200,151,25,16,0,eval,topk,29,,,,,,,,,,,,,,,,,,,,,
0.775,0.225,0.21739130434782608,0.8695652173913043,1.0,0.0,8.025053465353944,69.78307361177343,0.028660245192504256,200,155,23,10,0,eval,topk,30,,,,,,,,,,,,,,,,,,,,,
0.705,0.295,0.25,0.8333333333333334,1.0,0.0,7.389813743261124,49.26542495507416,0.04059642237581079,200,141,30,15,0,eval,topk,31,,,,,,,,,,,,,,,,,,,,,
0.67,0.33,0.36363636363636365,0.7575757575757576,1.0,0.0,6.909478422948877,41.87562680575077,0.047760479127331903,200,134,33,24,0,eval,topk,32,,,,,,,,,,,,,,,,,,,,,
0.715,0.285,0.3103448275862069,0.7586206896551724,1.0,0.0,7.470462861631546,51.52043352849342,0.0388195491191645,200,143,29,18,0,eval,topk,33,,,,,,,,,,,,,,,,,,,,,
0.74,0.26,0.28846153846153844,0.8461538461538461,1.0,0.0,7.616146719049513,58.585743992688556,0.03413799780795816,200,148,26,15,0,eval,topk,34,,,,,,,,,,,,,,,,,,,,,
0.68,0.32,0.25,0.90625,1.0,0.0,7.1793343045902205,44.870839403688876,0.044572377663957365,200,136,32,16,0,eval,topk,35,,,,,,,,,,,,,,,,,,,,,
0.755,0.245,0.2,0.96,1.0,0.0,7.84791273020345,62.7833018416276,0.031855603979622615,200,151,25,10,0,eval,topk,36,,,,,,,,,,,,,,,,,,,,,
0.74,0.26,0.21153846153846154,0.8461538461538461,1.0,0.0,7.708623883408641,59.297106795451086,0.03372845840352919,200,148,26,11,0,eval,topk,37,,,,,,,,,,,,,,,,,,,,,
0.695,0.305,0.12903225806451613,0.967741935483871,1.0,0.0,7.375659070648419,47.5848972299898,0.04203014225991696,200,139,31,8,0,eval,topk,38,,,,,,,,,,,,,,,,,,,,,
0.735,0.265,0.35185185185185186,0.7407407407407407,1.0,0.0,7.530756103726224,55.78337854612018,0.035852973629886084,200,147,27,19,0,eval,topk,39,,,,,,,,,,,,,,,,,,,,,
0.74,0.26,0.34615384615384615,0.7692307692307693,1.0,0.0,7.642875188885036,58.79134760680797,0.03401861126531487,200,148,26,18,0,eval,topk,40,,,,,,,,,,,,,,,,,,,,,
0.745,0.255,0.19230769230769232,0.9230769230769231,1.0,0.0,7.7230975446371595,59.408442651055076,0.033665248755085496,200,149,26,10,0,eval,topk,41,,,,,,,,,,,,,,,,,,,,,
0.72,0.28,0.32142857142857145,0.75,1.0,0.0,7.43542956271721,53.110211162265784,0.03765754185931344,200,144,28,18,0,eval,topk,42,,,,,,,,,,,,,,,,,,,,,
0.675,0.325,0.3787878787878788,0.7575757575757576,1.0,0.0,6.978534960438363,42.294151275384024,0.047287862262034255,200,135,33,25,0,eval,topk,43,,,,,,,,,,,,,,,,,,,,,
0.695,0.305,0.1935483870967742,0.967741935483871,1.0,0.0,7.31463648922892,47.19120315631561,0.04238078002324337,200,139,31,12,0,eval,topk,44,,,,,,,,,,,,,,,,,,,,,
0.73,0.27,0.07407407407407407,1.0,1.0,0.0,7.745620152748972,57.374964094436834,0.034858409614132085,200,146,27,4,0,eval,topk,45,,,,,,,,,,,,,,,,,,,,,
0.76,0.24,0.0625,1.0,1.0,0.0,7.979729832331714,66.49774860276428,0.030076206217857743,200,152,24,3,0,eval,topk,46,,,,,,,,,,,,,,,,,,,,,
0.765,0.235,0.22916666666666666,0.8333333333333334,1.0,0.0,7.881237380218348,65.67697816848623,0.030452070965708032,200,153,24,11,0,eval,topk,47,,,,,,,,,,,,,,,,,,,,,
0.68,0.32,0.203125,0.9375,1.0,0.0,7.275822796515867,45.47389247822417,0.0439812800489364,200,136,32,13,0,eval,topk,48,,,,,,,,,,,,,,,,,,,,,
0.76,0.24,0.3125,0.8333333333333334,1.0,0.0,7.807912181239965,65.06593484366637,0.030738050637486282,200,152,24,15,0,eval,topk,49,,,,,,,,,,,,,,,,,,,,,
0.735,0.265,0.4444444444444444,0.7037037037037037,1.0,0.0,7.536955717970265,55.82930161459456,0.03582348233202996,200,147,27,24,0,eval,topk,50,,,,,,,,,,,,,,,,,,,,,
0.775,0.225,0.32608695652173914,0.7391304347826086,1.0,0.0,7.935994302081124,69.00864610505324,0.028981875647224837,200,155,23,15,0,eval,topk,51,,,,,,,,,,,,,,,,,,,,,
0.735,0.265,0.3148148148148148,0.8148148148148148,1.0,0.0,7.555461159305175,55.966378957816104,0.035735740586459466,200,147,27,17,0,eval,topk,52,,,,,,,,,,,,,,,,,,,,,
0.725,0.275,0.19642857142857142,0.8214285714285714,1.0,0.0,7.474358670034142,53.38827621452958,0.03746140804328313,200,145,28,11,0,eval,topk,53,,,,,,,,,,,,,,,,,,,,,
