snr_db,avg_sum_rate_per_request,sem_sum_rate_per_request,avg_sum_rate_tx_only,sem_sum_rate_tx_only,avg_rate_weak,sem_rate_weak,avg_rate_strong,sem_rate_strong,outage_prob_weak,sem_outage_weak,outage_prob_strong,sem_outage_strong,avg_ber_weak,sem_ber_weak,avg_ber_strong,sem_ber_strong,cache_hits_weak,cache_hits_strong,cache_hit_rate_fraction
-10,14.086091905550246,0.2033156400057481,0.056091905550245034,0.0027772815614963598,7.193191256080365,0.14205040183138282,6.892900649469881,0.14463534966570576,0.281,0.014221154708434942,0.316,0.014709193056057165,0.13227434302593943,0.006728561588649619,0.09974767837164512,0.004709301804773278,719,684,0.7015
-8,14.405558879747321,0.19629687028415904,0.07555887974732167,0.00413134244903231,6.935195886925718,0.14568679230422263,7.470362992821604,0.13503321410102234,0.307,0.014593284892852741,0.26,0.01387777332977422,0.1429567107114049,0.0068522786872365,0.06943551103678511,0.0038006647047453884,693,740,0.7165
-6,14.556169767812507,0.19908874805586288,0.11616976781250844,0.006149881452872196,7.247091300719647,0.1410684713641208,7.309078467092861,0.13654933595092358,0.276,0.014142984975740588,0.182,0.012207580637662196,0.1263766723486589,0.00655685770051379,0.06281999233453928,0.0033483498935881696,724,720,0.722
-4,14.485715610719476,0.1967450690980345,0.17571561071947614,0.009104020658393629,7.200225852888108,0.14169790833240084,7.2854897578313675,0.13509617020464346,0.281,0.014221154708434942,0.102,0.009575368801653944,0.12625696243478102,0.006505561295100069,0.049871694131644544,0.0027535117527372186,719,712,0.7155
-2,14.305403260708681,0.19422231563762046,0.2654032607086806,0.013187062029819247,7.056403070053328,0.14363654618603341,7.249000190655352,0.13306441465717003,0.296,0.01444273494157504,0.072,0.008178195576218687,0.13002009364005784,0.006531896355422783,0.03594827936308894,0.002098083318402986,704,700,0.702
0,14.466936859874249,0.19371018646077873,0.3369368598742488,0.017332237496325276,6.982322356176557,0.14448083731956246,7.484614503697692,0.12685756454376615,0.304,0.014553205687950535,0.02,0.004429403980178328,0.13075921993194234,0.006512629918889346,0.02257159798635838,0.0015266210972418922,696,717,0.7065
2,14.788601503142788,0.1830615197093561,0.4686015031427876,0.02318602664218662,7.306185379616046,0.1394592568026505,7.482416123526741,0.12312707526147634,0.261,0.013895037677965185,0.006,0.002443352199329841,0.11345643181608855,0.006169883914545992,0.013180251845098474,0.0010735888081641956,728,704,0.716
4,14.489167429917922,0.18100164209346353,0.6391674299179217,0.030305217863683984,6.939574379425161,0.14450632021081994,7.549593050492761,0.11745032601981711,0.284,0.01426700906103124,0.003,0.0017303161543469432,0.126349886678352,0.006401727386912163,0.006367118827102861,0.000670582187937796,690,695,0.6925
6,14.660666449155514,0.1793419602778923,0.800666449155514,0.037312617863437224,6.999124764187863,0.1430792416673174,7.66154168496765,0.111577595435942,0.247,0.013644675781314012,0.001,0.0010000000000000002,0.11735173303237244,0.0062164764073115355,0.0036505309381966297,0.000468895262754774,694,692,0.693
8,15.262434662574998,0.17091300459481554,0.9324346625749986,0.04471294112491147,7.352386523420991,0.1378376674720138,7.910048139154009,0.10256878226737069,0.213,0.012953717566737312,0.0,0.0,0.10506840805182188,0.006050251572199778,0.0013374147277394827,0.00024276924690793005,730,703,0.7165
10,15.19586185787534,0.17014985170667837,1.1158618578753394,0.05400501761704093,7.047594273551513,0.14246426107465276,8.148267584323827,0.09251421989545197,0.241,0.01353152253451555,0.0,0.0,0.11849186329257007,0.0063347446947406485,0.0004870892624237607,0.00012198758382434875,699,709,0.704
12,15.770737589916902,0.16004474159925486,1.250737589916901,0.061209634874622665,7.45407699240137,0.13538371316765668,8.316660597515533,0.08578165942507923,0.19,0.012411851354816254,0.0,0.0,0.09641886130084333,0.0058963237553739814,0.0004160858046305942,0.0001804440586799357,738,714,0.726
14,15.648150904596951,0.15903319275029001,1.4681509045969505,0.06864110151352375,7.339722185518671,0.13659924595832287,8.308428719078277,0.08340201712610783,0.184,0.012259457340938643,0.0,0.0,0.09517132056110353,0.005836963752510086,0.00046043286035655947,0.00021588527710717612,724,694,0.709
16,15.693639118745473,0.15736936137762408,1.6336391187454737,0.07772752774732149,7.115653010950499,0.1400445088750946,8.577986107794976,0.07296223879251022,0.199,0.01263164908309911,0.0,0.0,0.10565702926131773,0.006112621310777148,0.0001984340628176338,0.0001348064070349642,701,705,0.703
18,15.928968321611,0.15412838263844383,1.768968321611001,0.08529404216226134,7.206836471051042,0.1386242737803983,8.72213185055996,0.06780722043949787,0.2,0.012655439943366657,0.0,0.0,0.10223290260628273,0.006049513742353206,9.551585168477121e-05,4.820704576965781e-05,710,706,0.708
20,15.969620067475256,0.15508762783487604,1.8196200674752556,0.09040818682097918,7.140054854598364,0.13927169227339078,8.829565212876892,0.06635834505668411,0.191,0.012436787112179482,0.0,0.0,0.10222147374176281,0.006042152107203942,0.00018147286332082896,5.5762775861027625e-05,702,713,0.7075
22,16.190068095962665,0.14903847471122997,1.960068095962665,0.0982131624418412,7.2402645582064125,0.13799728340027154,8.949803537756251,0.06339850954069802,0.193,0.012486268734370044,0.0,0.0,0.10061668135128528,0.00603320183913856,0.00015967972105500807,6.810168629856681e-05,713,710,0.7115
24,16.413275606442685,0.14743181682495676,2.14327560644269,0.10636974822428145,7.35723779968011,0.13610584273847168,9.056037806762578,0.060905177279889054,0.175,0.012021627157731998,0.0,0.0,0.09470743055269469,0.00587196543609835,0.000309722069139342,0.0001669502518875022,725,702,0.7135
26,16.47541941166849,0.14597084135327007,2.4054194116684906,0.11612861791177914,7.300243454431823,0.13642998024004935,9.175175957236668,0.060633759371433504,0.174,0.01199449323097345,0.0,0.0,0.09412204991173403,0.005874360853563358,0.00017959811399973527,8.979745362286378e-05,717,690,0.7035
28,16.686697471886067,0.1483447072775222,2.506697471886065,0.1257376217947086,7.225137056675625,0.13810738928492866,9.46156041521044,0.05355146591353462,0.186,0.012310790208412926,0.0,0.0,0.10039332962825433,0.006022821640346212,0.00019548706690827262,0.00010927888328749107,711,707,0.709
