seed,total_requests,hits,hit_rate,num_misses,outage_rate,pair_count,single_count,pairs_both_satisfied,pairs_partial,pairs_none,top_popular,noma_success_rate,avg_ber,policy,cache_policy,total_hits,total_transmissions,total_outages,run
2025,10000.0,7272.0,0.7272,2728.0,0.5,1364.0,0.0,0.0,1364.0,0.0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(8), np.int32(7), np.int32(9)]",0.5,0.01,topk,,,,,
2026,10000.0,7284.0,0.7284,2716.0,0.5,1358.0,0.0,0.0,1358.0,0.0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(9)]",0.5,0.01,topk,,,,,
2027,10000.0,7279.0,0.7279,2721.0,0.4998162440279309,1360.0,1.0,0.0,1360.0,0.0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(10)]",0.5,0.01,topk,,,,,
2028,10000.0,7354.0,0.7354,2646.0,0.5,1323.0,0.0,0.0,1323.0,0.0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(10)]",0.5,0.01,topk,,,,,
2029,10000.0,7246.0,0.7246,2754.0,0.5,1377.0,0.0,0.0,1377.0,0.0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(8), np.int32(7), np.int32(11)]",0.5,0.01,topk,,,,,
2030,10000.0,7319.0,0.7319,2681.0,0.4998135024244685,1340.0,1.0,0.0,1340.0,0.0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(9)]",0.5,0.01,topk,,,,,
2031,10000.0,7307.0,0.7307,2693.0,0.441515038989974,1346.0,1.0,157.0,1189.0,0.0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(9)]",0.5,0.01,topk,,,,,
2032,10000.0,7312.0,0.7312,2688.0,0.5,1344.0,0.0,0.0,1344.0,0.0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(9)]",0.5,0.01,topk,,,,,
2033,10000.0,7309.0,0.7309,2691.0,0.4998141954663694,1345.0,1.0,0.0,1345.0,0.0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(9)]",0.5,0.01,topk,,,,,
2034,10000.0,7283.0,0.7283,2717.0,0.49981597350018403,1358.0,1.0,0.0,1358.0,0.0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(9)]",0.5,0.01,topk,,,,,
2025,10000.0,6017.0,0.6017,3983.0,0.49987446648255085,1991.0,1.0,0.0,1991.0,0.0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(8), np.int32(7), np.int32(9)]",0.5,0.01,lru,,,,,
2026,10000.0,6066.0,0.6066,3934.0,0.5,1967.0,0.0,0.0,1967.0,0.0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(9)]",0.5,0.01,lru,,,,,
2027,10000.0,6062.0,0.6062,3938.0,0.5,1969.0,0.0,0.0,1969.0,0.0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(10)]",0.5,0.01,lru,,,,,
2028,10000.0,6163.0,0.6163,3837.0,0.43784206411258797,1918.0,1.0,238.0,1680.0,0.0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(10)]",0.5,0.01,lru,,,,,
2029,10000.0,6039.0,0.6039,3961.0,0.49987376925018934,1980.0,1.0,0.0,1980.0,0.0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(8), np.int32(7), np.int32(11)]",0.5,0.01,lru,,,,,
2030,10000.0,6146.0,0.6146,3854.0,0.5,1927.0,0.0,0.0,1927.0,0.0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(9)]",0.5,0.01,lru,,,,,
2031,10000.0,6105.0,0.6105,3895.0,0.49114249037227214,1947.0,1.0,34.0,1913.0,0.0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(9)]",0.5,0.01,lru,,,,,
2032,10000.0,6032.0,0.6032,3968.0,0.5,1984.0,0.0,0.0,1984.0,0.0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(9)]",0.5,0.01,lru,,,,,
2033,10000.0,6107.0,0.6107,3893.0,0.4998715643462625,1946.0,1.0,0.0,1946.0,0.0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(9)]",0.5,0.01,lru,,,,,
2034,10000.0,6035.0,0.6035,3965.0,0.4998738965952081,1982.0,1.0,0.0,1982.0,0.0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(9)]",0.5,0.01,lru,,,,,
2025,10000.0,6620.0,0.662,3380.0,0.5,1690.0,0.0,0.0,1690.0,0.0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(8), np.int32(7), np.int32(9)]",0.5,0.01,lfu,,,,,
2026,10000.0,6652.0,0.6652,3348.0,0.5,1674.0,0.0,0.0,1674.0,0.0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(9)]",0.5,0.01,lfu,,,,,
2027,10000.0,6678.0,0.6678,3322.0,0.5,1661.0,0.0,0.0,1661.0,0.0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(10)]",0.5,0.01,lfu,,,,,
2028,10000.0,6693.0,0.6693,3307.0,0.43725430904142726,1653.0,1.0,207.0,1446.0,0.0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(10)]",0.5,0.01,lfu,,,,,
2029,10000.0,6619.0,0.6619,3381.0,0.49985211475894703,1690.0,1.0,0.0,1690.0,0.0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(8), np.int32(7), np.int32(11)]",0.5,0.01,lfu,,,,,
2030,10000.0,6688.0,0.6688,3312.0,0.5,1656.0,0.0,0.0,1656.0,0.0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(9)]",0.5,0.01,lfu,,,,,
2031,10000.0,6637.0,0.6637,3363.0,0.4998513232233125,1681.0,1.0,0.0,1681.0,0.0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(9)]",0.5,0.01,lfu,,,,,
2032,10000.0,6632.0,0.6632,3368.0,0.5,1684.0,0.0,0.0,1684.0,0.0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(9)]",0.5,0.01,lfu,,,,,
2033,10000.0,6685.0,0.6685,3315.0,0.49984917043740573,1657.0,1.0,0.0,1657.0,0.0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(9)]",0.5,0.01,lfu,,,,,
2034,10000.0,6611.0,0.6611,3389.0,0.4998524638536441,1694.0,1.0,0.0,1694.0,0.0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(9)]",0.5,0.01,lfu,,,,,
3025,,,0.5814,,0.3463927376970855,,,,,,,0.6536072623029144,0.21880192782036426,stable_dqn,stable_dqn,2907.0,2093.0,725.0,1.0
3026,,,0.5734,,0.3952180028129395,,,,,,,0.6047819971870605,0.23436883745019507,stable_dqn,stable_dqn,2867.0,2133.0,843.0,2.0
3027,,,0.5736,,0.3428705440900563,,,,,,,0.6571294559099438,0.21717906926435046,stable_dqn,stable_dqn,2868.0,2132.0,731.0,3.0
3028,,,0.5776,,0.3721590909090909,,,,,,,0.6278409090909091,0.22668675295750776,stable_dqn,stable_dqn,2888.0,2112.0,786.0,4.0
3029,,,0.571,,0.3212121212121212,,,,,,,0.6787878787878788,0.20860903383091478,stable_dqn,stable_dqn,2855.0,2145.0,689.0,5.0
3030,,,0.5714,,0.35977601493233785,,,,,,,0.6402239850676622,0.2197192456321427,stable_dqn,stable_dqn,2857.0,2143.0,771.0,6.0
3031,,,0.5628,,0.3709972552607502,,,,,,,0.6290027447392498,0.22780694658282777,stable_dqn,stable_dqn,2814.0,2186.0,811.0,7.0
3032,,,0.5764,,0.358356940509915,,,,,,,0.6416430594900849,0.2224459290681064,stable_dqn,stable_dqn,2882.0,2118.0,759.0,8.0
3033,,,0.5704,,0.36405959031657353,,,,,,,0.6359404096834265,0.22729597197800655,stable_dqn,stable_dqn,2852.0,2148.0,782.0,9.0
3034,,,0.5694,,0.3938690199721319,,,,,,,0.6061309800278681,0.2384478079020366,stable_dqn,stable_dqn,2847.0,2153.0,848.0,10.0
