seed,total_requests,hits,hit_rate,num_misses,outage_rate,pair_count,single_count,pairs_both_satisfied,pairs_partial,pairs_none,top_popular,policy,run_idx
2025,10000,5552,0.5552,4448,0.5,2224,0,0,2224,0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(8), np.int32(7), np.int32(9)]",random,1
2026,10000,5584,0.5584,4416,0.5,2208,0,0,2208,0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(9)]",random,2
2027,10000,5575,0.5575,4425,0.4998870056497175,2212,1,0,2212,0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(10)]",random,3
2028,10000,5647,0.5647,4353,0.4674936825178038,2176,1,141,2035,0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(10)]",random,4
2029,10000,5507,0.5507,4493,0.49988871578010236,2246,1,0,2246,0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(8), np.int32(7), np.int32(11)]",random,5
2030,10000,5688,0.5688,4312,0.5,2156,0,0,2156,0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(9)]",random,6
2031,10000,5566,0.5566,4434,0.4645917907081642,2217,0,157,2060,0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(9)]",random,7
2032,10000,5582,0.5582,4418,0.5,2209,0,0,2209,0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(9)]",random,8
2033,10000,5613,0.5613,4387,0.49988602689765216,2193,1,0,2193,0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(9)]",random,9
2034,10000,5558,0.5558,4442,0.5,2221,0,0,2221,0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(9)]",random,10
2035,10000,5625,0.5625,4375,0.49988571428571427,2187,1,0,2187,0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(9)]",random,11
2036,10000,5503,0.5503,4497,0.49988881476539915,2248,1,0,2248,0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(10)]",random,12
2037,10000,5573,0.5573,4427,0.3261802575107296,2213,1,769,1444,0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(7), np.int32(6), np.int32(8), np.int32(10)]",random,13
2038,10000,5650,0.565,4350,0.4731034482758621,2175,0,117,2058,0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(9)]",random,14
2039,10000,5515,0.5515,4485,0.49988851727982164,2242,1,0,2242,0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(9)]",random,15
2040,10000,5640,0.564,4360,0.3860091743119266,2180,0,497,1683,0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(9), np.int32(8)]",random,16
2041,10000,5637,0.5637,4363,0.49988539995416,2181,1,0,2181,0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(9)]",random,17
2042,10000,5498,0.5498,4502,0.5,2251,0,0,2251,0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(9), np.int32(8)]",random,18
2043,10000,5468,0.5468,4532,0.41151809355692853,2266,0,401,1865,0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(10)]",random,19
2044,10000,5575,0.5575,4425,0.3566101694915254,2212,1,634,1578,0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(9)]",random,20
2045,10000,5515,0.5515,4485,0.49988851727982164,2242,1,0,2242,0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(9), np.int32(8)]",random,21
2046,10000,5537,0.5537,4463,0.4998879677347076,2231,1,0,2231,0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(9)]",random,22
2047,10000,5666,0.5666,4334,0.3874019381633595,2167,0,488,1679,0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(9), np.int32(8)]",random,23
2048,10000,5500,0.55,4500,0.37822222222222224,2250,0,548,1702,0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(9)]",random,24
2049,10000,5614,0.5614,4386,0.5,2193,0,0,2193,0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(9)]",random,25
2050,10000,5547,0.5547,4453,0.49988771614641814,2226,1,0,2226,0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(9)]",random,26
2051,10000,5537,0.5537,4463,0.4998879677347076,2231,1,0,2231,0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(7), np.int32(6), np.int32(8), np.int32(10)]",random,27
2052,10000,5477,0.5477,4523,0.4594295821357506,2261,1,183,2078,0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(9)]",random,28
2053,10000,5587,0.5587,4413,0.49988669839111716,2206,1,0,2206,0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(8), np.int32(7), np.int32(9)]",random,29
2054,10000,5594,0.5594,4406,0.3238765320018157,2203,0,776,1427,0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(7), np.int32(6), np.int32(8), np.int32(9)]",random,30
