snr_db,pa_method,sum_rate_mean,sum_rate_std,outage_weak_mean,outage_weak_std,outage_strong_mean,outage_strong_std,ber_weak_mean,ber_weak_std,ber_strong_mean,ber_strong_std,cache_hit_weak_mean,cache_hit_weak_std,cache_hit_strong_mean,cache_hit_strong_std,energy_mean,energy_std,cic_opportunity_mean,cic_opportunity_std,cic_benefit_mean,cic_benefit_std,sic_success_mean,sic_success_std,outage_prob,cache_hit_rate,cic_benefit_rate,energy_efficiency,label
-10,closedform,10.96,6.8390016733274415,0.46,0.4988965780511852,0.444,0.49735170396297,0.20212030194443628,0.2203091792122689,0.15814406261626807,0.18115599209770988,0.54,0.49889657805118515,0.556,0.49735170396297,1.428,0.9046838706485395,0.524,0.49992384189533395,0.0,0.0,0.286,0.45234193532426964,0.452,0.548,0.0,7.675070028011205,Standard CIC
-8,closedform,12.103777438776248,7.118754368565686,0.392,0.48868561187588594,0.386,0.4873181280394068,0.16552775612979914,0.2078505296053327,0.12713187001401605,0.16182903014028535,0.608,0.48868561187588594,0.602,0.489975665012671,1.24,0.9717451194394077,0.45,0.4979919597583559,0.012,0.10899430957182159,0.474,0.4998236161833385,0.389,0.605,0.026666666666666665,9.76111083772278,Standard CIC
-6,closedform,10.664304973624501,7.128363298801133,0.452,0.4981891054303969,0.312,0.463773837494839,0.18425632602605543,0.20587259570479868,0.14083124704849245,0.15538883381613786,0.548,0.4981891054303969,0.512,0.5003565862730835,1.424,0.9065692116275192,0.484,0.5002444292323062,0.11,0.31320311681841473,0.476,0.4999238418953339,0.382,0.53,0.2272727272727273,7.488978211814959,Standard CIC
-4,closedform,11.340379072535233,6.92224871279917,0.406,0.4915763364821159,0.1,0.3003004507513149,0.1573819660949362,0.19094373823954303,0.10835970600234818,0.1310852601883998,0.586,0.49304176330278704,0.53,0.49959903762596813,1.376,0.927547674989678,0.492,0.5004366830554041,0.23,0.4212539730609544,0.534,0.49934225273928257,0.253,0.558,0.467479674796748,8.241554558528513,Standard CIC
-2,closedform,10.926048603660798,6.782585345589396,0.41,0.49232587738110833,0.074,0.26203305639802504,0.15594673165875048,0.17982531156644468,0.08899240011422899,0.11504429406860828,0.55,0.4979919597583559,0.514,0.5003045164881453,1.448,0.8949289332629615,0.512,0.5003565862730835,0.262,0.4401630231788535,0.586,0.49304176330278704,0.242,0.532,0.51171875,7.545613676561325,Standard CIC
0,closedform,11.222385148207467,6.904740437086228,0.362,0.481060118566641,0.06,0.23772468540751976,0.13956333679111071,0.16655921831310133,0.06648550743040121,0.10086021221809838,0.562,0.4966379955230917,0.52,0.5001001903626928,1.396,0.9191701406676512,0.478,0.5000160318071094,0.274,0.44645564761864215,0.754,0.4311098600389994,0.211,0.541,0.5732217573221758,8.038957842555492,Standard CIC
2,closedform,11.207291789085192,6.482211522930308,0.276,0.4474644666314808,0.07,0.2554025468194154,0.13000905780249594,0.15675650047119835,0.05053473806674079,0.10214305727936307,0.538,0.4990532118085534,0.522,0.5000160318071094,1.468,0.8846135213551332,0.528,0.4997153498360075,0.362,0.481060118566641,0.854,0.3534598530745337,0.17300000000000001,0.53,0.6856060606060606,7.63439495169291,Standard CIC
4,closedform,11.669301018837386,6.410122829752127,0.258,0.4379721900743894,0.054,0.2262440557130529,0.1238667092133208,0.1523528515660366,0.031610839821696955,0.08819996789046296,0.53,0.49959903762596813,0.56,0.49688407860903566,1.424,0.9065692116275192,0.514,0.5003045164881453,0.364,0.48163049724009743,0.9,0.3003004507513149,0.156,0.545,0.7081712062256809,8.194733861543108,Standard CIC
6,closedform,12.226446860785103,6.360532681134293,0.16,0.366973212479269,0.082,0.2746394977191278,0.08809932361583608,0.12580413555397033,0.03449662436151414,0.09847505731592636,0.582,0.49372414064344494,0.544,0.4985590458957585,1.368,0.9307570129923647,0.494,0.5004647139007099,0.37,0.48328783790670443,0.938,0.24139706934878133,0.121,0.563,0.7489878542510121,8.937461155544666,Standard CIC
8,closedform,12.22305839089734,6.332299082099233,0.132,0.33882976732047154,0.066,0.24853075276540784,0.08498865057509972,0.1283185517900994,0.02410284071322512,0.08367116936675668,0.524,0.4999238418953339,0.572,0.4952843761178551,1.38,0.9259128626704118,0.476,0.4999238418953339,0.396,0.48955421216991546,0.986,0.11760809209681664,0.099,0.548,0.8319327731092437,8.857288689056043,Standard CIC
10,closedform,12.994275940602174,6.154696010032481,0.1,0.3003004507513149,0.066,0.24853075276540784,0.06578171360834292,0.11044187447752665,0.020849031697240398,0.07588373210298675,0.56,0.49688407860903566,0.594,0.4915763364821159,1.312,0.9510336113196628,0.466,0.49934225273928257,0.394,0.48912420198753187,0.984,0.12560076075487922,0.083,0.577,0.8454935622317596,9.904173735215071,Standard CIC
