seed,total_requests,hits,hit_rate,num_misses,outage_rate,pair_count,single_count,pairs_both_satisfied,pairs_partial,pairs_none,top_popular,policy,run_idx
2025,10000,6620,0.662,3380,0.5,1690,0,0,1690,0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(8), np.int32(7), np.int32(9)]",lfu,1
2026,10000,6652,0.6652,3348,0.5,1674,0,0,1674,0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(9)]",lfu,2
2027,10000,6678,0.6678,3322,0.5,1661,0,0,1661,0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(10)]",lfu,3
2028,10000,6693,0.6693,3307,0.43725430904142726,1653,1,207,1446,0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(10)]",lfu,4
2029,10000,6619,0.6619,3381,0.49985211475894703,1690,1,0,1690,0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(8), np.int32(7), np.int32(11)]",lfu,5
2030,10000,6688,0.6688,3312,0.5,1656,0,0,1656,0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(9)]",lfu,6
2031,10000,6637,0.6637,3363,0.4998513232233125,1681,1,0,1681,0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(9)]",lfu,7
2032,10000,6632,0.6632,3368,0.5,1684,0,0,1684,0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(9)]",lfu,8
2033,10000,6685,0.6685,3315,0.49984917043740573,1657,1,0,1657,0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(9)]",lfu,9
2034,10000,6611,0.6611,3389,0.4998524638536441,1694,1,0,1694,0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(9)]",lfu,10
