seed,total_requests,hits,hit_rate,num_misses,outage_rate,pair_count,single_count,pairs_both_satisfied,pairs_partial,pairs_none,top_popular,policy,run_idx
2025,10000,5506,0.5506,4494,0.5,2247,0,0,2247,0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(8), np.int32(7), np.int32(9)]",random,1
2026,10000,5515,0.5515,4485,0.49988851727982164,2242,1,0,2242,0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(9)]",random,2
2027,10000,5528,0.5528,4472,0.5,2236,0,0,2236,0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(10)]",random,3
2028,10000,5618,0.5618,4382,0.4461433135554541,2191,0,236,1955,0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(10)]",random,4
2029,10000,5449,0.5449,4551,0.4998901340364755,2275,1,0,2275,0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(8), np.int32(7), np.int32(11)]",random,5
2030,10000,5622,0.5622,4378,0.5,2189,0,0,2189,0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(9)]",random,6
2031,10000,5595,0.5595,4405,0.4858115777525539,2202,1,62,2140,0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(9)]",random,7
2032,10000,5573,0.5573,4427,0.49988705669753786,2213,1,0,2213,0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(9)]",random,8
2033,10000,5580,0.558,4420,0.5,2210,0,0,2210,0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(9)]",random,9
2034,10000,5556,0.5556,4444,0.5,2222,0,0,2222,0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(9)]",random,10
2035,10000,5609,0.5609,4391,0.4998861307219312,2195,1,0,2195,0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(9)]",random,11
2036,10000,5423,0.5423,4577,0.4998907581385187,2288,1,0,2288,0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(10)]",random,12
2037,10000,5560,0.556,4440,0.33378378378378376,2220,0,738,1482,0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(7), np.int32(6), np.int32(8), np.int32(10)]",random,13
2038,10000,5653,0.5653,4347,0.47987117552334946,2173,1,87,2086,0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(9)]",random,14
2039,10000,5504,0.5504,4496,0.5,2248,0,0,2248,0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(9)]",random,15
2040,10000,5576,0.5576,4424,0.3811030741410488,2212,0,526,1686,0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(9), np.int32(8)]",random,16
2041,10000,5596,0.5596,4404,0.5,2202,0,0,2202,0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(9)]",random,17
2042,10000,5637,0.5637,4363,0.49988539995416,2181,1,0,2181,0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(9), np.int32(8)]",random,18
2043,10000,5463,0.5463,4537,0.4752038792153405,2268,1,112,2156,0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(10)]",random,19
2044,10000,5660,0.566,4340,0.3467741935483871,2170,0,665,1505,0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(9)]",random,20
2045,10000,5508,0.5508,4492,0.5,2246,0,0,2246,0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(9), np.int32(8)]",random,21
2046,10000,5543,0.5543,4457,0.4998878169172089,2228,1,0,2228,0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(9)]",random,22
