seed,total_requests,hits,hit_rate,num_misses,outage_rate,pair_count,single_count,pairs_both_satisfied,pairs_partial,pairs_none,top_popular,noma_success_rate,avg_ber,avg_ber_weak,avg_ber_strong,cumulative_reward,policy,total_transmissions,outages,q_table_size,final_epsilon,cache_contents_count
2025,10000,7272,0.7272,2728.0,0.5,1364.0,0.0,0.0,1364.0,0.0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(8), np.int32(7), np.int32(9)]",0.5,0.01,0.01,0.01,0.0,topk,,,,,
2026,10000,7284,0.7284,2716.0,0.5,1358.0,0.0,0.0,1358.0,0.0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(9)]",0.5,0.01,0.01,0.01,0.0,topk,,,,,
2027,10000,7279,0.7279,2721.0,0.4998162440279309,1360.0,1.0,0.0,1360.0,0.0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(10)]",0.5,0.01,0.01,0.01,0.0,topk,,,,,
2028,10000,7354,0.7354,2646.0,0.5,1323.0,0.0,0.0,1323.0,0.0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(10)]",0.5,0.01,0.01,0.01,0.0,topk,,,,,
2029,10000,7246,0.7246,2754.0,0.5,1377.0,0.0,0.0,1377.0,0.0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(8), np.int32(7), np.int32(11)]",0.5,0.01,0.01,0.01,0.0,topk,,,,,
2030,10000,7319,0.7319,2681.0,0.4998135024244685,1340.0,1.0,0.0,1340.0,0.0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(9)]",0.5,0.01,0.01,0.01,0.0,topk,,,,,
2031,10000,7307,0.7307,2693.0,0.441515038989974,1346.0,1.0,157.0,1189.0,0.0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(9)]",0.5,0.01,0.01,0.01,0.0,topk,,,,,
2032,10000,7312,0.7312,2688.0,0.5,1344.0,0.0,0.0,1344.0,0.0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(9)]",0.5,0.01,0.01,0.01,0.0,topk,,,,,
2033,10000,7309,0.7309,2691.0,0.4998141954663694,1345.0,1.0,0.0,1345.0,0.0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(9)]",0.5,0.01,0.01,0.01,0.0,topk,,,,,
2034,10000,7283,0.7283,2717.0,0.49981597350018403,1358.0,1.0,0.0,1358.0,0.0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(9)]",0.5,0.01,0.01,0.01,0.0,topk,,,,,
2035,10000,7284,0.7284,2716.0,0.49337260677466865,1358.0,0.0,18.0,1340.0,0.0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(9)]",0.5,0.01,0.01,0.01,0.0,topk,,,,,
2036,10000,7208,0.7208,2792.0,0.5,1396.0,0.0,0.0,1396.0,0.0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(10)]",0.5,0.01,0.01,0.01,0.0,topk,,,,,
2037,10000,7259,0.7259,2741.0,0.32360452389638816,1370.0,1.0,483.0,887.0,0.0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(7), np.int32(6), np.int32(8), np.int32(10)]",0.5,0.01,0.01,0.01,0.0,topk,,,,,
2038,10000,7312,0.7312,2688.0,0.5,1344.0,0.0,0.0,1344.0,0.0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(9)]",0.5,0.01,0.01,0.01,0.0,topk,,,,,
2039,10000,7258,0.7258,2742.0,0.5,1371.0,0.0,0.0,1371.0,0.0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(9)]",0.5,0.01,0.01,0.01,0.0,topk,,,,,
2040,10000,7308,0.7308,2692.0,0.3777860326894502,1346.0,0.0,329.0,1017.0,0.0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(9), np.int32(8)]",0.5,0.01,0.01,0.01,0.0,topk,,,,,
2041,10000,7305,0.7305,2695.0,0.4998144712430427,1347.0,1.0,0.0,1347.0,0.0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(9)]",0.5,0.01,0.01,0.01,0.0,topk,,,,,
2042,10000,7247,0.7247,2753.0,0.4998183799491464,1376.0,1.0,0.0,1376.0,0.0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(9), np.int32(8)]",0.5,0.01,0.01,0.01,0.0,topk,,,,,
