seed,total_requests,hits,hit_rate,num_misses,outage_rate,pair_count,single_count,pairs_both_satisfied,pairs_partial,pairs_none,top_popular,noma_success_rate,avg_ber,avg_ber_weak,avg_ber_strong,cumulative_reward
2025,10000,5579,0.5579,4421,0.49988690341551684,2210,1,0,2210,0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(8), np.int32(7), np.int32(9)]",0.5,0.01,0.01,0.01,0
2026,10000,5559,0.5559,4441,0.4998874127448773,2220,1,0,2220,0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(9)]",0.5,0.01,0.01,0.01,0
2027,10000,5593,0.5593,4407,0.49988654413433176,2203,1,0,2203,0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(10)]",0.5,0.01,0.01,0.01,0
2028,10000,5687,0.5687,4313,0.4256897750985393,2156,1,320,1836,0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(10)]",0.5,0.01,0.01,0.01,0
2029,10000,5527,0.5527,4473,0.4998882181980773,2236,1,0,2236,0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(8), np.int32(7), np.int32(11)]",0.5,0.01,0.01,0.01,0
2030,10000,5666,0.5666,4334,0.5,2167,0,0,2167,0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(9)]",0.5,0.01,0.01,0.01,0
2031,10000,5548,0.5548,4452,0.49573225516621744,2226,0,19,2207,0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(9)]",0.5,0.01,0.01,0.01,0
2032,10000,5538,0.5538,4462,0.49282832810398924,2231,0,32,2199,0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(9)]",0.5,0.01,0.01,0.01,0
2033,10000,5602,0.5602,4398,0.5,2199,0,0,2199,0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(9)]",0.5,0.01,0.01,0.01,0
2034,10000,5554,0.5554,4446,0.5,2223,0,0,2223,0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(9)]",0.5,0.01,0.01,0.01,0
2035,10000,5603,0.5603,4397,0.4998862861041619,2198,1,0,2198,0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(9)]",0.5,0.01,0.01,0.01,0
2036,10000,5494,0.5494,4506,0.5,2253,0,0,2253,0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(10)]",0.5,0.01,0.01,0.01,0
2037,10000,5533,0.5533,4467,0.3319901499888068,2233,1,750,1483,0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(7), np.int32(6), np.int32(8), np.int32(10)]",0.5,0.01,0.01,0.01,0
2038,10000,5637,0.5637,4363,0.47192298876919553,2181,1,122,2059,0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(9)]",0.5,0.01,0.01,0.01,0
2039,10000,5554,0.5554,4446,0.5,2223,0,0,2223,0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(9)]",0.5,0.01,0.01,0.01,0
2040,10000,5572,0.5572,4428,0.3699186991869919,2214,0,576,1638,0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(9), np.int32(8)]",0.5,0.01,0.01,0.01,0
2041,10000,5659,0.5659,4341,0.4998848191660908,2170,1,0,2170,0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(9)]",0.5,0.01,0.01,0.01,0
2042,10000,5464,0.5464,4536,0.5,2268,0,0,2268,0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(9), np.int32(8)]",0.5,0.01,0.01,0.01,0
2043,10000,5456,0.5456,4544,0.45840669014084506,2272,0,189,2083,0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(10)]",0.5,0.01,0.01,0.01,0
2044,10000,5617,0.5617,4383,0.36892539356605064,2191,1,574,1617,0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(9)]",0.5,0.01,0.01,0.01,0
