seed,policy,total_requests,hits,hit_rate,total_transmissions,outages,outage_rate,noma_success_rate,avg_ber_weak,avg_ber_strong,avg_ber,q_table_size,final_epsilon,cumulative_reward,cache_contents_count
2025,rl_dqn_noma,10000,5367,0.5367,4633,1578,0.3406000431685733,0.6593999568314267,0.3723228983767102,0.0638899266220181,0.21810641249936413,64,0.01,-22113.0,200
2026,rl_dqn_noma,10000,5301,0.5301,4699,1733,0.3688018727388806,0.6311981272611193,0.3810810340429019,0.0669629275353617,0.2240219807891318,63,0.01,-23500.0,200
2027,rl_dqn_noma,10000,5493,0.5493,4507,1763,0.3911692922121145,0.6088307077878855,0.38748704142947843,0.07037829092281468,0.22893266617614655,55,0.01,-23362.0,200
2028,rl_dqn_noma,10000,5456,0.5456,4544,1632,0.3591549295774648,0.6408450704225352,0.3773686463692263,0.06766282766319118,0.22251573701620875,66,0.01,-22692.0,200
2029,rl_dqn_noma,10000,5413,0.5413,4587,1698,0.3701765860039241,0.6298234139960759,0.3835072983469112,0.0706850102666469,0.22709615430677907,57,0.01,-23491.0,200
2030,rl_dqn_noma,10000,5455,0.5455,4545,1773,0.3900990099009901,0.6099009900990099,0.39814652063431943,0.07650287509971988,0.23732469786701965,63,0.01,-23768.0,200
2031,rl_dqn_noma,10000,5425,0.5425,4575,1634,0.3571584699453552,0.6428415300546448,0.3727069723253512,0.06460415847659284,0.21865556540097203,68,0.01,-22535.0,200
2032,rl_dqn_noma,10000,5470,0.547,4530,1658,0.36600441501103753,0.6339955849889625,0.37899694100889253,0.06769189415564326,0.2233444175822679,62,0.01,-22718.0,200
2033,rl_dqn_noma,10000,5420,0.542,4580,1585,0.3460698689956332,0.6539301310043668,0.37469016878207695,0.06536415631671308,0.22002716254939503,67,0.01,-22207.0,200
2034,rl_dqn_noma,10000,5430,0.543,4570,1720,0.37636761487964987,0.6236323851203501,0.3899076827779101,0.07255621284997778,0.23123194781394393,60,0.01,-23298.0,200
2035,rl_dqn_noma,10000,5340,0.534,4660,1606,0.3446351931330472,0.6553648068669528,0.36944571840526297,0.06269428597250234,0.21607000218888267,72,0.01,-22238.0,200
2036,rl_dqn_noma,10000,5504,0.5504,4496,1506,0.3349644128113879,0.6650355871886121,0.36885864032283794,0.06219378857136221,0.21552621444710007,59,0.01,-21294.0,200
2037,rl_dqn_noma,10000,5347,0.5347,4653,1564,0.336127229744251,0.663872770255749,0.36719552908378067,0.062234744322515814,0.21471513670314823,66,0.01,-22259.0,200
2038,rl_dqn_noma,10000,5494,0.5494,4506,1665,0.36950732356857524,0.6304926764314248,0.3861135075554675,0.0684720976020397,0.2272928025787536,60,0.01,-22683.0,200
2039,rl_dqn_noma,10000,5384,0.5384,4616,1705,0.369367417677643,0.630632582322357,0.38567112594057973,0.0711797632142253,0.22842544457740252,62,0.01,-23595.0,200
2040,rl_dqn_noma,10000,5372,0.5372,4628,1711,0.3697061365600691,0.6302938634399309,0.3825842521255574,0.06899540755957535,0.22578982984256638,60,0.01,-23539.0,200
2041,rl_dqn_noma,10000,5503,0.5503,4497,1857,0.41294196130753835,0.5870580386924616,0.3975898687172544,0.07483504864097637,0.2362124586791154,56,0.01,-24246.0,200
2042,rl_dqn_noma,10000,5381,0.5381,4619,1878,0.4065815111495995,0.5934184888504005,0.4011326608220158,0.08088437352424117,0.2410085171731285,72,0.01,-24875.0,200
2043,rl_dqn_noma,10000,5401,0.5401,4599,1577,0.34290063057186343,0.6570993694281365,0.3753561918083321,0.06595251399226391,0.220654352900298,61,0.01,-22356.0,200
2044,rl_dqn_noma,10000,5357,0.5357,4643,1675,0.36075813051906097,0.6392418694809391,0.38265801005895606,0.06740527626971791,0.225031643164337,57,0.01,-23066.0,200
