snr_db,avg_sum_rate_per_request,sem_sum_rate_per_request,avg_sum_rate_tx_only,sem_sum_rate_tx_only,avg_rate_weak,sem_rate_weak,avg_rate_strong,sem_rate_strong,outage_prob_weak,sem_outage_weak,outage_prob_strong,sem_outage_strong,avg_ber_weak,sem_ber_weak,avg_ber_strong,sem_ber_strong,cache_hits_weak,cache_hits_strong,cache_hit_rate_fraction
-10,0.18258077907108847,0.0019619978037915013,0.18258077907108847,0.0019619978037915013,0.010341341427722632,0.000582902013619391,0.17223943764336588,0.002318497576870875,1.0,0.0,1.0,0.0,0.47286683214197933,0.0012390173468174823,0.31293253637536117,0.0014009973524559548,0,0,0.0
-8,0.2749564333954224,0.0029678938580998747,0.2749564333954224,0.0029678938580998747,0.01632839271618713,0.0008939250507704172,0.2586280406792353,0.003522029381702805,1.0,0.0,1.0,0.0,0.4655974303321227,0.0015468347612925724,0.2727970319179281,0.0017037706855124583,0,0,0.0
-6,0.43033012811235327,0.00418993143061171,0.43033012811235327,0.00418993143061171,0.021963537598546353,0.0012986245129112152,0.40836659051380697,0.005072178669710461,1.0,0.0,0.586,0.015583544104177548,0.46275435842210505,0.0018444315448976393,0.21768125481446768,0.0019021898316462056,0,0,0.0
-4,0.6045511090372082,0.0060460704609723095,0.6045511090372082,0.0060460704609723095,0.03368148120222055,0.0019455327026229184,0.5708696278349877,0.00733646008799735,1.0,0.0,0.368,0.015258073561521743,0.4529210401845595,0.0022534899974962605,0.1734762059601674,0.002142770301975402,0,0,0.0
-2,0.8478385021582054,0.00821712496068879,0.8478385021582054,0.00821712496068879,0.05703300987508202,0.002983314842818789,0.7908054922831234,0.010267697332439278,1.0,0.0,0.283,0.014251810906481822,0.435212575666118,0.0028328986337809005,0.12844509024642378,0.0022551115636952113,0,0,0.0
0,1.2001559711622662,0.010313516439171682,1.2001559711622662,0.010313516439171682,0.07960790343724218,0.00426629151386773,1.1205480677250241,0.013277559377671146,1.0,0.0,0.093,0.009188875634996669,0.4260982580699828,0.0033647874048364133,0.08010939256552754,0.0020457119887999273,0,0,0.0
2,1.6134188488499313,0.012344685725560437,1.6134188488499313,0.012344685725560437,0.09759708062162133,0.005397862793230392,1.5158217682283097,0.01593111698158721,0.951,0.006829761756140959,0.014,0.003717232548256541,0.4200669563716299,0.003719518587564043,0.04381738639892457,0.0015623239033168374,0,0,0.0
4,2.0740517519514823,0.01431253295960795,2.0740517519514823,0.01431253295960795,0.13529023562142709,0.007003550842945673,1.9387615163300551,0.01894720736077362,0.892,0.009820001651345707,0.008,0.0028185003005044974,0.4034363144061265,0.0042551747834280364,0.02340043030064636,0.0011548804208441812,0,0,0.0
6,2.6012224009706624,0.016200102826576107,2.6012224009706624,0.016200102826576107,0.1770096617860721,0.00889270421474825,2.4242127391845907,0.02199372585355807,0.827,0.011967214137559929,0.006,0.002443352199329841,0.38990915290408434,0.004766327633065404,0.01151052925630243,0.0008106892483453436,0,0,0.0
8,3.185485450121647,0.017615893473216408,3.185485450121647,0.017615893473216408,0.19486951668632854,0.010052758542984154,2.990615933435319,0.02454281884060231,0.805,0.012535235623319258,0.001,0.0010000000000000002,0.3871883145311024,0.0049721355921137165,0.005091807455635586,0.0005240691373249512,0,0,0.0
